"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cluster","gene_name"
"ENSG00000000457",670.881393923357,-0.413524839647854,0.213515710402592,21.0480004751092,2.68834356113456e-05,0.00177109308691142,1,"SCYL3"
"ENSG00000000460",102.132026704626,-0.15404157271883,0.294546396001709,10.2185726870655,0.00604039215068571,0.0396111289057127,1,"C1orf112"
"ENSG00000002822",399.702403217779,-0.318392024975978,0.151766976704492,11.7431057989747,0.0028184930973759,0.0249107814923073,1,"MAD1L1"
"ENSG00000006007",4596.63453156988,0.0216709351309923,0.166351549642328,21.4193745747517,2.23275930614933e-05,0.00161458944552408,1,"GDE1"
"ENSG00000006327",830.836970977574,-0.396254858375874,0.264000382850059,20.7037418942915,3.19329889185374e-05,0.00197619972750248,1,"TNFRSF12A"
"ENSG00000006432",2006.49731843292,-0.589427911859962,0.309704297905753,27.2248222757885,1.22519427109281e-06,0.000435620407539692,1,"MAP3K9"
"ENSG00000006451",2451.14386331076,-0.459399358731258,0.337913357561488,26.7421162274453,1.55963597432834e-06,0.000502446561945855,1,"RALA"
"ENSG00000006576",603.949617043691,-0.365468717029025,0.192492243659074,13.3950340907617,0.00123397199853541,0.0158957575098784,1,"PHTF2"
"ENSG00000006606",40.5912915608189,-0.176847187425894,0.784392241215006,9.76503337919257,0.00757791873994607,0.0452541701328086,1,"CCL26"
"ENSG00000006625",883.056399387934,-0.275812164379791,0.244033761618944,10.6947176288135,0.00476070832323719,0.0339024658524532,1,"GGCT"
"ENSG00000006831",2296.52660318014,-0.375368880312295,0.206627227220638,14.8549232362685,0.000594695161015645,0.0101512932581522,1,"ADIPOR2"
"ENSG00000008086",725.291973158902,-0.328940749164607,0.23176385374142,19.6312422129864,5.4592114621586e-05,0.0026153970260383,1,"CDKL5"
"ENSG00000009307",12780.5643717888,-0.110300230523674,0.102674807827028,18.3995425972988,0.000101062512327356,0.00379198940711298,1,"CSDE1"
"ENSG00000010017",3247.09424573972,-0.313531826744781,0.304933749519343,16.5318717031781,0.000257128177673773,0.00638167266554142,1,"RANBP9"
"ENSG00000010072",399.863065703434,-0.201482092455426,0.18659228770849,12.3802974094132,0.00204952195705321,0.020794543886964,1,"SPRTN"
"ENSG00000010244",3216.26639168904,-0.165141932569357,0.169809559698868,11.3959739130602,0.00335270781543897,0.0275753240524676,1,"ZNF207"
"ENSG00000010278",16332.2417280323,-0.142382586062262,0.191304076792799,23.8589971496674,6.59302309531556e-06,0.000878005057100542,1,"CD9"
"ENSG00000010438",741.031317758221,0.0118987148214231,0.64889105541502,20.0299847815216,4.47243531831711e-05,0.00238998983501337,1,"PRSS3"
"ENSG00000010818",2759.08046286142,-0.793802560075785,0.336615670959097,25.1630055370413,3.43496861719099e-06,0.000709700204297292,1,"HIVEP2"
"ENSG00000011426",295.247712136749,-0.527434835387337,0.332624340111491,10.8338710683286,0.00444073429629222,0.0326769851617544,1,"ANLN"
"ENSG00000011638",1024.58019089999,-0.290494231157088,0.183189288884224,14.0667063866837,0.000881969402729707,0.0129559106445308,1,"TMEM159"
"ENSG00000013016",807.152226381335,-0.32594381477824,0.288794339517203,14.9777583905566,0.000559269441162974,0.00987553949478544,1,"EHD3"
"ENSG00000013588",8617.72655791063,-0.236680985266073,0.268214634244749,16.8023901775518,0.000224598748281637,0.0058865592856879,1,"GPRC5A"
