"","go_id","pval","padj","description","full_go","cluster"
"1","GO:0043588",3.20414066898658e-24,5.09586531995625e-20,"skin development","GO:0043588 skin development",1
"2","GO:0008544",2.74381694171588e-23,2.18188323205247e-19,"epidermis development","GO:0008544 epidermis development",1
"3","GO:0030216",2.57845636050908e-22,1.36692566525121e-18,"keratinocyte differentiation","GO:0030216 keratinocyte differentiation",1
"4","GO:0009913",1.48880079032864e-21,5.91947194234668e-18,"epidermal cell differentiation","GO:0009913 epidermal cell differentiation",1
"5","GO:0070268",6.83661218411359e-21,2.17458960352285e-17,"cornification","GO:0070268 cornification",1
"6","GO:0009888",4.39890061108806e-18,1.16600192197907e-14,"tissue development","GO:0009888 tissue development",1
"7","GO:0030855",2.23472035951055e-17,5.07728465680798e-14,"epithelial cell differentiation","GO:0030855 epithelial cell differentiation",1
"8","GO:0031424",7.75354393797816e-17,1.54140453487006e-13,"keratinization","GO:0031424 keratinization",1
"9","GO:0060429",2.26729842791238e-16,4.00656824416872e-13,"epithelium development","GO:0060429 epithelium development",1
"10","GO:0008219",3.0233377341634e-12,4.80831633241347e-09,"cell death","GO:0008219 cell death",1
"11","GO:0048513",4.10598189631557e-11,5.44179467325023e-08,"animal organ development","GO:0048513 animal organ development",1
"12","GO:0048731",3.87320002283108e-11,5.44179467325023e-08,"system development","GO:0048731 system development",1
"13","GO:0012501",4.99049548379801e-11,6.10529539802489e-08,"programmed cell death","GO:0012501 programmed cell death",1
"14","GO:0048856",5.48553542760223e-11,6.23156824575614e-08,"anatomical structure development","GO:0048856 anatomical structure development",1
"15","GO:0032502",6.3045535562615e-10,6.68450798391886e-07,"developmental process","GO:0032502 developmental process",1
"16","GO:0048523",7.80902078923286e-10,7.76216666449747e-07,"negative regulation of cellular process","GO:0048523 negative regulation of cellular process",1
"17","GO:0019538",1.67243221421368e-09,1.56460952557967e-06,"protein metabolic process","GO:0019538 protein metabolic process",1
"18","GO:0007275",1.80948491674514e-09,1.59878045088415e-06,"multicellular organism development","GO:0007275 multicellular organism development",1
"19","GO:0035556",2.94229773496889e-09,2.46285806194448e-06,"intracellular signal transduction","GO:0035556 intracellular signal transduction",1
"20","GO:0016043",4.87857951870611e-09,3.8794464332751e-06,"cellular component organization","GO:0016043 cellular component organization",1
"21","GO:0009653",9.17266498902829e-09,6.66683464403981e-06,"anatomical structure morphogenesis","GO:0009653 anatomical structure morphogenesis",1
"22","GO:0044267",9.22223102168485e-09,6.66683464403981e-06,"cellular protein metabolic process","GO:0044267 cellular protein metabolic process",1
"23","GO:0051128",2.85443154123242e-08,1.97377735790262e-05,"regulation of cellular component organization","GO:0051128 regulation of cellular component organization",1
"24","GO:0048518",3.45405303909539e-08,2.28888581390721e-05,"positive regulation of biological process","GO:0048518 positive regulation of biological process",1
"25","GO:1901564",6.35552741590418e-08,4.0431323209016e-05,"organonitrogen compound metabolic process","GO:1901564 organonitrogen compound metabolic process",1
"26","GO:0033561",1.31307026969681e-07,8.03194983433001e-05,"regulation of water loss via skin","GO:0033561 regulation of water loss via skin",1
"27","GO:0048519",1.50357930670985e-07,8.34601983684242e-05,"negative regulation of biological process","GO:0048519 negative regulation of biological process",1
"28","GO:0048522",1.47420914546145e-07,8.34601983684242e-05,"positive regulation of cellular process","GO:0048522 positive regulation of cellular process",1
"29","GO:0050891",1.52184717849868e-07,8.34601983684242e-05,"multicellular organismal water homeostasis","GO:0050891 multicellular organismal water homeostasis",1
"30","GO:0030163",1.61605728710253e-07,8.56725836469289e-05,"protein catabolic process","GO:0030163 protein catabolic process",1
"31","GO:0048869",1.98382025171976e-07,0.000101776378333391,"cellular developmental process","GO:0048869 cellular developmental process",1
"32","GO:0050793",2.18467006681278e-07,0.000105287856795729,"regulation of developmental process","GO:0050793 regulation of developmental process",1
"33","GO:0071840",2.13019321127712e-07,0.000105287856795729,"cellular component organization or biogenesis","GO:0071840 cellular component organization or biogenesis",1
"34","GO:0045216",3.13680440770895e-07,0.000146728639118245,"cell-cell junction organization","GO:0045216 cell-cell junction organization",1
"35","GO:0023051",3.48917622369428e-07,0.000158548167604668,"regulation of signaling","GO:0023051 regulation of signaling",1
"36","GO:0030154",4.07825316069063e-07,0.000175298752074659,"cell differentiation","GO:0030154 cell differentiation",1
"37","GO:0061436",4.05431396465943e-07,0.000175298752074659,"establishment of skin barrier","GO:0061436 establishment of skin barrier",1
"38","GO:1901565",5.79661172818346e-07,0.000242603455065868,"organonitrogen compound catabolic process","GO:1901565 organonitrogen compound catabolic process",1
"39","GO:0009966",6.27980778702518e-07,0.000256087341140637,"regulation of signal transduction","GO:0009966 regulation of signal transduction",1
"40","GO:0010646",6.66993129844823e-07,0.000265196468426302,"regulation of cell communication","GO:0010646 regulation of cell communication",1
"41","GO:0048583",7.22770542627203e-07,0.000280364456340074,"regulation of response to stimulus","GO:0048583 regulation of response to stimulus",1
"42","GO:0016055",7.9656802087857e-07,0.000301633757239352,"Wnt signaling pathway","GO:0016055 Wnt signaling pathway",1
"43","GO:0030104",8.22437555497157e-07,0.000304187136805274,"water homeostasis","GO:0030104 water homeostasis",1
"44","GO:0022603",9.01827667749093e-07,0.000318048269874137,"regulation of anatomical structure morphogenesis","GO:0022603 regulation of anatomical structure morphogenesis",1
"45","GO:0032268",9.19908225239581e-07,0.000318048269874137,"regulation of cellular protein metabolic process","GO:0032268 regulation of cellular protein metabolic process",1
"46","GO:0198738",9.04267417086047e-07,0.000318048269874137,"cell-cell signaling by wnt","GO:0198738 cell-cell signaling by wnt",1
"47","GO:0007264",1.66122925262474e-06,0.000562131702845615,"small GTPase mediated signal transduction","GO:0007264 small GTPase mediated signal transduction",1
"48","GO:0006464",1.84740377683174e-06,0.00059961448299453,"cellular protein modification process","GO:0006464 cellular protein modification process",1
"49","GO:0036211",1.84740377683174e-06,0.00059961448299453,"protein modification process","GO:0036211 protein modification process",1
