"","go_id","pval","padj","description","full_go","direction"
"1","GO:0006955",9.38712355798713e-10,1.49687072255663e-05,"immune response","GO:0006955 immune response","Upregulated"
"2","GO:0046649",2.33881991791101e-09,1.86474112055045e-05,"lymphocyte activation","GO:0046649 lymphocyte activation","Upregulated"
"3","GO:0002376",3.99309419572163e-09,2.1224626681659e-05,"immune system process","GO:0002376 immune system process","Upregulated"
"4","GO:0042110",7.45437654504845e-09,2.97168720968357e-05,"T cell activation","GO:0042110 T cell activation","Upregulated"
"5","GO:0032943",1.63504340021914e-08,4.34540034331573e-05,"mononuclear cell proliferation","GO:0032943 mononuclear cell proliferation","Upregulated"
"6","GO:0032944",1.48223738999375e-08,4.34540034331573e-05,"regulation of mononuclear cell proliferation","GO:0032944 regulation of mononuclear cell proliferation","Upregulated"
"7","GO:0050776",2.88922146883498e-08,6.58164650600609e-05,"regulation of immune response","GO:0050776 regulation of immune response","Upregulated"
"8","GO:0019221",5.14374093689067e-08,9.11356588662873e-05,"cytokine-mediated signaling pathway","GO:0019221 cytokine-mediated signaling pathway","Upregulated"
"9","GO:0070663",5.02786617044324e-08,9.11356588662873e-05,"regulation of leukocyte proliferation","GO:0070663 regulation of leukocyte proliferation","Upregulated"
"10","GO:0071345",5.72608011706492e-08,9.13080735467173e-05,"cellular response to cytokine stimulus","GO:0071345 cellular response to cytokine stimulus","Upregulated"
"11","GO:0046651",7.16200479167342e-08,9.33904080888339e-05,"lymphocyte proliferation","GO:0046651 lymphocyte proliferation","Upregulated"
"12","GO:0050670",7.61366678260906e-08,9.33904080888339e-05,"regulation of lymphocyte proliferation","GO:0050670 regulation of lymphocyte proliferation","Upregulated"
"13","GO:0070661",7.4214096194014e-08,9.33904080888339e-05,"leukocyte proliferation","GO:0070661 leukocyte proliferation","Upregulated"
"14","GO:0002682",9.24706004677404e-08,0.000105324013932756,"regulation of immune system process","GO:0002682 regulation of immune system process","Upregulated"
"15","GO:0002521",2.15251096176294e-07,0.000228826265308478,"leukocyte differentiation","GO:0002521 leukocyte differentiation","Upregulated"
"16","GO:0002684",2.65572546142122e-07,0.000264676238798892,"positive regulation of immune system process","GO:0002684 positive regulation of immune system process","Upregulated"
"17","GO:0002250",3.34999666329398e-07,0.000314229687016975,"adaptive immune response","GO:0002250 adaptive immune response","Upregulated"
"18","GO:0098542",4.13204230599705e-07,0.000366053036730161,"defense response to other organism","GO:0098542 defense response to other organism","Upregulated"
"19","GO:0034097",4.46480165990358e-07,0.000374714354046434,"response to cytokine","GO:0034097 response to cytokine","Upregulated"
"20","GO:0045321",4.97088041464226e-07,0.000377455519485169,"leukocyte activation","GO:0045321 leukocyte activation","Upregulated"
"21","GO:0046631",4.92948622963955e-07,0.000377455519485169,"alpha-beta T cell activation","GO:0046631 alpha-beta T cell activation","Upregulated"
"22","GO:0042098",5.34225282091969e-07,0.000387216197647206,"T cell proliferation","GO:0042098 T cell proliferation","Upregulated"
"23","GO:0050851",6.40520896441085e-07,0.000444075922376067,"antigen receptor-mediated signaling pathway","GO:0050851 antigen receptor-mediated signaling pathway","Upregulated"
"24","GO:0001775",8.75297608168931e-07,0.000581562319160907,"cell activation","GO:0001775 cell activation","Upregulated"
"25","GO:0050852",9.51874692271678e-07,0.000607143753718567,"T cell receptor signaling pathway","GO:0050852 T cell receptor signaling pathway","Upregulated"
"26","GO:0030098",1.00786580189406e-06,0.000618131849115487,"lymphocyte differentiation","GO:0030098 lymphocyte differentiation","Upregulated"
"27","GO:0002696",1.20098803316242e-06,0.000709294636178074,"positive regulation of leukocyte activation","GO:0002696 positive regulation of leukocyte activation","Upregulated"
"28","GO:0006952",1.37440838991534e-06,0.000755735040882416,"defense response","GO:0006952 defense response","Upregulated"
"29","GO:0050870",1.37434581192466e-06,0.000755735040882416,"positive regulation of T cell activation","GO:0050870 positive regulation of T cell activation","Upregulated"
"30","GO:0051249",1.95553526519734e-06,0.00103943217796122,"regulation of lymphocyte activation","GO:0051249 regulation of lymphocyte activation","Upregulated"
"31","GO:0050867",2.08502337042147e-06,0.00107250911821744,"positive regulation of cell activation","GO:0050867 positive regulation of cell activation","Upregulated"
"32","GO:0030217",2.35265386863124e-06,0.0011723568309123,"T cell differentiation","GO:0030217 T cell differentiation","Upregulated"
"33","GO:0042129",2.68060902370621e-06,0.00123265164866359,"regulation of T cell proliferation","GO:0042129 regulation of T cell proliferation","Upregulated"
"34","GO:0043207",2.7055567354337e-06,0.00123265164866359,"response to external biotic stimulus","GO:0043207 response to external biotic stimulus","Upregulated"
"35","GO:0051707",2.65458680750983e-06,0.00123265164866359,"response to other organism","GO:0051707 response to other organism","Upregulated"
"36","GO:0002694",2.88104910561202e-06,0.00127614469550248,"regulation of leukocyte activation","GO:0002694 regulation of leukocyte activation","Upregulated"
"37","GO:0046634",3.06341638846761e-06,0.00128550625606591,"regulation of alpha-beta T cell activation","GO:0046634 regulation of alpha-beta T cell activation","Upregulated"
"38","GO:0051251",2.99859576828655e-06,0.00128550625606591,"positive regulation of lymphocyte activation","GO:0051251 positive regulation of lymphocyte activation","Upregulated"
"39","GO:0050865",3.46966286470657e-06,0.00141864728309259,"regulation of cell activation","GO:0050865 regulation of cell activation","Upregulated"
"40","GO:0006468",4.06956559984206e-06,0.00150914635011817,"protein phosphorylation","GO:0006468 protein phosphorylation","Upregulated"
"41","GO:0042102",4.05729282507359e-06,0.00150914635011817,"positive regulation of T cell proliferation","GO:0042102 positive regulation of T cell proliferation","Upregulated"
"42","GO:0045087",3.86672785591375e-06,0.00150914635011817,"innate immune response","GO:0045087 innate immune response","Upregulated"
"43","GO:1903039",4.04392663574562e-06,0.00150914635011817,"positive regulation of leukocyte cell-cell adhesion","GO:1903039 positive regulation of leukocyte cell-cell adhesion","Upregulated"
"44","GO:0009607",4.82121066127945e-06,0.0017472505728355,"response to biotic stimulus","GO:0009607 response to biotic stimulus","Upregulated"
"45","GO:0002252",8.62490474131191e-06,0.00305628291122133,"immune effector process","GO:0002252 immune effector process","Upregulated"
"46","GO:0032946",1.01356972669239e-05,0.00351356149170367,"positive regulation of mononuclear cell proliferation","GO:0032946 positive regulation of mononuclear cell proliferation","Upregulated"
"47","GO:1902533",1.10458523812207e-05,0.00374759919299885,"positive regulation of intracellular signal transduction","GO:1902533 positive regulation of intracellular signal transduction","Upregulated"
"48","GO:1903037",1.3059856323189e-05,0.00433859310269942,"regulation of leukocyte cell-cell adhesion","GO:1903037 regulation of leukocyte cell-cell adhesion","Upregulated"
